keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match
MACER,CLINTONS TRUCKING INC,PA36KC58ARX9,9Q8V5,"350 Hulett ST,Schenectady, New York,12307-1312, United States","350 Hulett ST,Schenectady, New York,12307-1312, United States",,"Mar 18, 2021",Macer Clinton,Macer Clinton,"New York, United States",New York 20,0
MACER,AMERICAN UNIVERSITY OF SOVEREIGN NATIONS INC.,S6FCGJW4V4M7,6ZSP8,"8840 E Chaparral RD STE 285,Scottsdale, Arizona,85250-2611, United States","P.O. Box 1701,Sacaton, Arizona,85147, United States",https://www.ausovereignnations.org/,"Mar 15, 2013","Darryl R Macer, Dr","Govindan Parayil, Dr","Arizona, United States",Arizona 06,0
MACER,MACER HOME DECOR,CLKDPG4L1WM8,7NJP2,"41 Edison AVE,West Babylon, New York,11704-1008, United States","41 Edison AVE,West Babylon, New York,11704-1008, United States",,"May 10, 2013",Sunny Wong,Sunny Wong,"New York, United States",New York 02,0
Karaman Language Solutions,"KARAMAN LANGUAGE SOLUTIONS, LLC",J5LLMNDMRVW1,8CD26,"23592 Buckland Farm TER,Ashburn, Virginia,20148-6305, United States","23592 Buckland Farm TER,Ashburn, Virginia,20148-6305, United States",https://www.karamandc.com/,"Nov 21, 2017","Mukaddes Sahin, Founder and President","Mukaddes Sahin, Founder and CEO","Virginia, United States",Virginia 10,0
Flow Power,FREE FLOW POWER CORPORATION,QBHDFDQMW623,584M1,"239 Causeway ST STE 300,Boston, Massachusetts,02114-2130, United States","239 Causeway ST STE 300,Boston, Massachusetts,02114-2130, United States",http://www.free-flow-power.com/,"Jun 23, 2007",DANIEL FAGAN,ELVIR MUJANOVIC,"Delaware, United States",Massachusetts 08,0
Flow Power,T&K RAEMISCH LLC,SE88G81JSJ38,9HAK5,"2603 8TH AVE,STE B,Fort Worth, Texas,76110-3000, United States","2603 8TH AVE,STE B,Fort Worth, Texas,76110-3000, United States",,"Dec 1, 2020","Kyle Raemisch, Owner/Operator","Kyle Raemisch, Owner/Operator","Texas, United States",Texas 12,0
University of Maryland College Park,"UNIVERSITY OF MARYLAND, COLLEGE PARK",YM6SXJNJZNL3,1FSC9,"1109 Lee Building,College Park, Maryland,20742-0001, United States","Student Financial Services & Cashiering,1109 Lee Building,College Park, Maryland,20742, United States",,"Mar 6, 1856","TINA M DOWD, ASSISTANT DIRECTOR","TINA M DOWD, ASSISTANT DIRECTOR","(blank), (blank)",Maryland 04,0
University of Maryland College Park,"UNIVERSITY OF MARYLAND, COLLEGE PARK",PYCYY9JC3LC9,1SVX4,"4500 Campus DR,College Park, Maryland,20742-0001, United States","Maryland Fire And Rescue Institute,4500 Campus Drive,College Park, Maryland,20742, United States",https://mfri.org/,"Oct 1, 1930","Darl R McBride, Manager","Raquel Logan, Business Manager","(blank), (blank)",Maryland 04,0
University of Maryland College Park,"UNIVERSITY OF MARYLAND, COLLEGE PARK",NPU8ULVAAS23,0UB92,"3112 Lee Building,College Park, Maryland,20742-5100, United States","3112 Lee Bldg 7809 Regents DR,College Park, Maryland,20742-5100, United States",,"Mar 6, 1856",Sally Egloff,"Wendy T Montgomery, Assistant Vice President, Research Administration","(blank), (blank)",Maryland 04,0
Aerogel,AMERICAN AEROGEL CORPORATION,JKR7EDSFFQT8,3F9A5,"460 Buffalo RD,Rochester, New York,14611-2000, United States","460 Buffalo RD,STE 200A,Rochester, New York,14611-2000, United States",https://www.aerosafeglobal.com/,"Jan 5, 2001","Steven Caves, Controller","Steven Caves, Controller","Delaware, United States",New York 25,0
Aerogel,WESTWOOD AEROGEL CO.,J6ELFAKABJ16,9NTC0,"555 Pierce ST APT 1531,Albany, California,94706-1010, United States","555 Pierce ST APT 1531,Albany, California,94706-1010, United States",,"May 1, 2023","Patricia McNeil, Chief Executive Officer","Patricia McNeil, Chief Executive Officer","Delaware, United States",California 12,0
Aerogel,"AEROGEL TECHNOLOGIES, LLC",SP8JJMJGAXC8,9HM56,"1 Westinghouse Plaza Building D,Suite D157,Boston, Massachusetts,02136-2075, United States","1 Westinghouse Plaza Building D,Suite D157,Boston, Massachusetts,02136-2196, United States",,"Feb 13, 2004",Stephen Steiner,Justin Griffin,"Wisconsin, United States",Massachusetts 07,0
A-Bio,"PINO ENTERPRISES, INC",VEYJQ3JF9LP5,8G7H4,"17 S Jefferson ST,Orange, New Jersey,07050-1524, United States","17 S. Jefferson Street,Orange, New Jersey,07050, United States",,"Jun 18, 1991",GIUSEPPE A BIO,GIUSEPPE A BIO,"New Jersey, United States",New Jersey 10,0
Rezoom,REZOOM LLC,GEMVXR9UZJQ4,9BLD4,"3875 Northampton,Cleveland, Ohio,44121, United States","3875 Northampton,Cleveland, Ohio,44121, United States",https://rezoom.org/,"Oct 25, 2021",Romerol Stanton,Romerol Stanton,"Ohio, United States",Ohio 11,0
Jay Lee,JAY LEE COMPANY LLC,PPCCN2ZA11D7,776R8,"10131 Southpark DR,Gulfport, Mississippi,39503-6007, United States","10131 Southpark DR,Gulfport, Mississippi,39503-6007, United States",,"Dec 1, 2013",Chantele Lee,Chantele Lee,"Mississippi, United States",Mississippi 04,0
Jay Lee,DOXIMITY INC,Q7NKKJEDKGP4,74WD1,"500 3RD ST STE 510,San Francisco, California,94107-6803, United States","500 3RD ST STE 510,San Francisco, California,94107, United States",,"Apr 16, 2010","Jay Lee, Finance Manager","Jay Lee, Finance Manager","California, United States",California 11,0
Jay Lee,"LEZZER LUMBER, INC.",Y2F3D2JB3HT8,52ML9,"332 Schofield ST,Curwensville, Pennsylvania,16833-1434, United States","332 Schofield Street,Curwensville, Pennsylvania,16833-1434, United States",https://www.lezzerlumber.com/,"Jul 31, 1989",MIKE CATALANO,JAY LEE,"Pennsylvania, United States",Pennsylvania 15,0
Jay Lee,STUART KARON,KNMLM1LPR647,382C0,"500 3RD ST STE 510,San Francisco, California,94107-6803, United States","Suite 510,500, 3RD Street,San Francisco, California,94107, United States",http://www.amion.com/,"Jan 1, 1998",Aline Campbell,Aline Campbell,"Massachusetts, United States",California 11,0
Jay Lee,"PRIME ENC, INC.",JFB6MNK4CB17,8PD70,"2629 W Woodland DR,Anaheim, California,92801-2628, United States","18315 Timberlane Drive,Yorba Linda, California,92886, United States",,"Jan 15, 2014","Caleb Lee, Administrator","Caleb Lee, Administrator","California, United States",California 46,0
Nanodynamics,"NANODYNAMICS-88, INC.",YPKAKKH111J3,0ZDP9,"34 E 29TH ST FL 1,New York, New York,10016-7918, United States","333 E 34TH Street,APT. 3J,New York, New York,10016-4957, United States",,"Aug 8, 1988","CHIA-GEE WANG, PRESIDENT",CHIA-GEE WANG,"Delaware, United States",New York 12,0
Nanodynamics,"NANODYNAMICSUSA, INC.",R97XS2EFKAX3,79GF8,"800 Leigh ST,Richmond, Virginia,23219-1551, United States","10931 Lansdowne Terrace,Midlothian , Virginia,23113, United States",,"Sep 1, 2014",Jason Reed,Jason Reed,"Virginia, United States",Virginia 03,0
Mangino,MANGINO JOSEPH N,KZ9APDPSHSB7,0VR86,"1103 Atlantic DR,Stafford, Virginia,22554-2105, United States","1103 Atlantic Drive,Stafford, Virginia,22554-2105, United States",,"Apr 1, 1989","Joseph N Mangino, President","NANCY A Mangino, Vice President","Virginia, United States",Virginia 07,0
Mangino,TUSCUMBIA CITY BOARD OF EDUCATION,HY9SGYNJ6MV8,5MZV0,"303 N Commons ST E,Tuscumbia, Alabama,35674-1210, United States","303 North Commons Street East,Tuscumbia, Alabama,35674-1210, United States",,"Oct 1, 1855","Stephanie Mangino, CSFO","Stephanie Mangino, CSFO","(blank), (blank)",Alabama 04,0
Mangino,"LASTING IMPRESSIONS PROMOTIONS, INC.",ZRHDTL16J1T9,92U76,"41839 Michigan AVE,Canton, Michigan,48188-2686, United States","41839 Michigan AVE,Canton, Michigan,48188-2686, United States",https://www.liteam.com/,"Nov 1, 1976",Lois Mangino,"Lois Mangino, Director of Bids and Contracts","Michigan, United States",Michigan 06,0
MiRA,MIRA WILLSON,LMV1D82YCWH7,9DPX6,"128 Northway,Greenbelt, Maryland,20770-1751, United States","128 Northway,Greenbelt, Maryland,20770, United States",,"Oct 13, 2022",Mira Willson,Mira Willson,"Maryland, United States",Maryland 04,0
MiRA,NEW BIRCH MANOR II ASSOCIATES LLC,JVFMVPJKWAK3,6HZ39,"795 Miner DR,Medina, Ohio,44256-1421, United States","795 Miner Road,Medina, Ohio,44256-1421, United States",,"Jan 1, 1973",MIRA L DEBEVC,MIRA DEBEVC,"Ohio, United States",Ohio 16,0
MiRA,MIRA PIANTA,CH6UQMCK9LD4,9A164,"52 Alfred DR,Colchester, Connecticut,06415-1766, United States","52 Alfred DR,Colchester, Connecticut,06415-1766, United States",,"Feb 1, 2022",Mira Pianta,Mira Pianta,"Connecticut, United States",Connecticut 02,0
MiRA,MIRA GOGOVA,KAWLDX8CGN74,U0WX4,"96B Forest Road,London,E8 3BH, United Kingdom","96B Forest Road,London,E8 3BH, United Kingdom",,"May 27, 2014",Mira Gogova,Mira Gogova,"(blank), United Kingdom",Not Applicable,0
MiRA,MUTHAIGA TRAVEL LTD,HUMBENG7CJV5,SDWN5,"The Muthaiga Shopping Centre,Nairobi,00619, Kenya","The Muthaiga Shopping Centre,Nairobi,00619, Kenya",,"Apr 1, 1988","MIRA B SHAH, MRs.","MIRA B SHAH, MRs.","(blank), Kenya",Not Applicable,0
Shuvra Bhattacharyya,"STREAMLINED EMBEDDED TECHNOLOGIES, LLC",D62SJ9J6LJN8,6TC49,"4325 Broadgate CIR,Ellicott City, Maryland,21043-5513, United States","4325 Broadgate Circle,Ellicott City, Maryland,21043, United States",http://www.setdf.com/,"Jun 26, 2012","Shuvra Bhattacharyya, President","Shuvra Bhattacharyya, President","Maryland, United States",Maryland 07,0
"SereNeuro Therapeutics, Inc.","SERENEURO THERAPEUTICS, INC.",Y89DBCYUCMH1,08G12,"1812 Ashland AVE,Baltimore, Maryland,21205-1546, United States","1812 Ashland AVE,Baltimore, Maryland,21205-1546, United States",,"Mar 21, 2024","Daniel Saragnese, CEO","Daniel Saragnese, CEO","Delaware, United States",Maryland 07,0
ItinAFairy LLC,"ICMED, LLC",X3VLVHAP9YZ7,8QD73,"104 Cherry Valley RD,Reisterstown, Maryland,21136-3202, United States","5520 Research Park DR STE 100,Catonsville, Maryland,21228-4851, United States",https://www.icmedonline.com/,"Sep 24, 2014","James J Jacobsen, Chief Operating Officer","Patrick O'Shea, Chief Revenue Officer","Delaware, United States",Maryland 07,0
CyPhy,"CYPHY WORKS, INC",K3HEUL5M8HG8,59HA5,"16C Electronics AVE,Danvers, Massachusetts,01923, United States","16C Electronics AVE,Danvers, Massachusetts,01923-1011, United States",http://www.cyphyworks.com/,"Nov 14, 2008","Diane Lefebvre, Corporate Controller","Lance Vanden Brook, CEO","Delaware, United States",Massachusetts 06,0
CyPhy,RATIONAL CYPHY INC,MAVXNREBNY27,72QT7,"1512 Country Lake DR,Champaign, Illinois,61821-6428, United States","1512 Country Lake DR,Champaign, Illinois,61821-6428, United States",,"Jan 22, 2014",Mahesh Viswanathan,Mahesh Viswanathan,"Illinois, United States",Illinois 13,0
Recovery Connections,RECOVERY CONNECTIONS OF CENTRAL FLORIDA INC,C4RSNMV8NWV3,(blank),"776 Preserve TER,Lake Mary, Florida,32746-5201, United States","7912 Forest City RD,Suite 101,Orlando, Florida,32746, United States",https://www.myrecoveryconnections.org/,"Jan 30, 2020","Meredith Bekemeyer, Director of Development","Meredith Bekemeyer, Director of Development","Florida, United States",Florida 07,0
Recovery Connections,RECOVERY CONNECTIONS INC,LNJLAKCLCDJ8,8UJH6,"2405 Lawrenceville HWY,Lawrenceville, Georgia,30044-4411, United States","2405 Lawrenceville HWY,Lawrenceville, Georgia,30044-4411, United States",,"Apr 1, 2020","Barry Henson, CEO","Barry Henson, CEO","Georgia, United States",Georgia 07,0
Recovery Connections,RECOVERY CONNECTIONS,EVZQDTGMAQF7,9HML6,"500 W Calhoun AVE,Springfield, Illinois,62702-3734, United States","500 W Calhoun AVE,Springfield, Illinois,62702-3734, United States",,"May 31, 2022","Sally A Jefferson, Executive Director","Sally Jefferson, Executive Director","Illinois, United States",Illinois 13,0
Recovery Connections,YOUTH RECOVERY CONNECTIONS,V9KLX7Q7A299,(blank),"721 Monterey ST,Hollister, California,95023-3825, United States","721 Monterey ST,Hollister, California,95023-3825, United States",,"Dec 3, 2021","Michael Salinas, Chief Executive Officer","Michael Salinas, Chief Executive Officer","California, United States",California 18,0
Conjectura LLC,CONJECTURA LLC,HJYJZ9RB77C5,66CK7,"5912 Ridgway AVE,Rockville, Maryland,20851-1930, United States","5912 Ridgway AVE,Rockville, Maryland,20851-1930, United States",http://www.conjectura.net/,"Jun 30, 2006","ZEYNO A DODD, Owner","ZEYNO A DODD, Owner","Maryland, United States",Maryland 08,0
TheMe,SHANGHAI INTERNATIONAL THEME PARK COMPANY LTD,GHNCZUNDDGF1,SRNY1,"NO.1-600,901-1100, Lane 255,West Shendi Road,Shanghai,(blank), China","NO.753, North Shendi Road,Shanghai, Shanghai,(blank), China",,"Apr 2, 2011",Smile Wang,Peiyao Wang,"(blank), China",Not Applicable,0
TheMe,LDNA LLC,K61BN13Y7WG1,9TQ98,"12064 Theme Aly,Orlando, Florida,32832-5144, United States","12064 Theme Aly,Orlando, Florida,32832-5144, United States",,"Jan 20, 2023","Daniel Galan, OWNER","Daniel Galan, OWNER","Florida, United States",Florida 09,0
TheMe,GILROY GARDENS FAMILY THEME PARK,LYHSLYMAWSJ8,8YDN7,"3050 Hecker Pass RD,Gilroy, California,95020-9411, United States","3050 Hecker Pass RD,Gilroy, California,95020-9411, United States",https://gilroygardens.org/,"Mar 22, 1997","Patti Stephens, Financial Controller","Barbara-Lea Granter, VP General Manager","Delaware, United States",California 19,0
TheMe,GREEN THEME TECHNOLOGIES INC.,NNKWLJBRGJM5,88EJ4,"4132 Jackie RD SE,Rio Rancho, New Mexico,87124-6624, United States","4132 Jackie RD SE,Rio Rancho, New Mexico,87124, United States",https://www.greenthemetek.com/,"Apr 3, 2018",Purvi Mody,Purvi Mody,"Delaware, United States",New Mexico 01,0
virginia tech,WEATHERSBY CLAIMS LLC,YNTDLHHEW4H7,9XEQ5,"1032 Virginia Tech TRL,Virginia Beach, Virginia,23455-6662, United States","1032 Virginia Tech TRL,Virginia Beach, Virginia,23455-6662, United States",https://www.craftsmanshipbyweathersby.com/,"May 22, 2019",Kelley N Weathersby- Person,Kelley N Weathersby- Person,"Virginia, United States",Virginia 02,0
Kavita Kapur,"POON,TING-CHUNG",RZY1WBWY61H4,49N78,"302 Whittemore Hall,Blacksburg, Virginia,24061-0001, United States","Dept Of Electrical Engineering,Virginia Tech,Blacksburg, Virginia,24061-0001, United States",,"Jan 19, 2006","Luke Lester, Dept Head",KATHY Atkins,"Virginia, United States",Virginia 09,0
Your Health Concierge,YOUR HEALTH CONCIERGE INC,LEG8KCGEN858,88J52,"2 Wisconsin CIR STE 700,Chevy Chase, Maryland,20815-7007, United States","2 Wisconsin CIR STE 700,Bethesda, Maryland,20815-7007, United States",,"Mar 11, 2016","Julia Downer, COO",Caroline Sparks,"Maryland, United States",Maryland 08,0
Team,"TEAM, TAYLOR C.",NR3ZVT6VMMK1,9BXV4,"1749 Bonita Lane,Carlsbad, California,92008-1147, United States","1749 Bonita Lane,Carlsbad, California,92008-1147, United States",,"Jul 15, 2022",Taylor Team,Taylor Team,"(blank), (blank)",California 49,0
Spyridon Biotech,"SOFTWARE DEVELOPMENT & TESTING COMPANY, THE",FSJWFW29ED85,5DM01,"5114 Balcones Woods DR STE 307-406,Austin, Texas,78759-5273, United States","5114 Balcones Woods Drive,Suite # 307-406,Austin, Texas,78759-5212, United States",https://www.customdevelopmentandtesting.com/,"Dec 19, 2008","CHRIS MAGGIO JR, Mr","Chris Maggio Jr, Mr","Delaware, United States",Texas 17,0
The Digital Health & Wellness Institute LLC,THE DIGITAL HEALTH & WELLNESS INSTITUTE LLC,FDDZT4RJUDW3,(blank),"3401 Nevius ST,Falls Church, Virginia,22041-1713, United States","3401 Nevius ST,Falls Church, Virginia,22041-1713, United States",,"Nov 1, 2023",Raad Khan,Raad Khan,"Virginia, United States",Virginia 08,0
NDN International LLC,NDN INTERNATIONAL LLC,MV1NBEFN6B27,8TY35,"12016 Great Elm DR,Potomac, Maryland,20854-1229, United States","12016 Great Elm DR,Potomac, Maryland,20854, United States",,"Aug 13, 2018","Naa D Nyanin, Founder & CEO","Naa D Nyanin, Founder & CEO","Maryland, United States",Maryland 08,0
NDN International LLC,NDN INTERNATIONAL LLC,LN6AMMEKLCQ1,7FFH3,"451 W 18TH ST,Merced, California,95340-4803, United States","451 W 18TH Street,Merced, California,95340-4803, United States",,"Feb 24, 2014",Zaya Davood,Zaya Davood,"California, United States",California 13,0
Ariciano LLC,VIZULINGO,HDU5ZNBABLZ1,(blank),"1206 Hammon AVE,Ephrata, Pennsylvania,17522-2918, United States","1206 Hammon AVE,Ephrata, Pennsylvania,17522-2918, United States",https://vizulingo.com/,"Jan 16, 2020","Mark Murphy, CEO","Mark Murphy, CEO","Delaware, United States",Pennsylvania 11,0
RADECO LLC,"RADECO, INC.",CMR1LF7E9333,1N8W5,"17 West PKWY,Plainfield, Connecticut,06374-2048, United States","17 West PKWY,Plainfield, Connecticut,06374-0248, United States",http://www.radecoinc.com/,"Feb 4, 2000",Bradford Lovendale,BRAD LOVENDALE,"Connecticut, United States",Connecticut 02,0
RADECO LLC,"RADECO UNMANNED, INC.",SHHDKMZ5MG19,81ZJ0,"17 West PKWY,Plainfield, Connecticut,06374-2048, United States","15 West PKWY,Plainfield, Connecticut,06374-2048, United States",https://radecounmanned.com/,"Sep 26, 2017","Bradford Lovendale, Vice President","Bradford Lovendale, Vice President","Connecticut, United States",Connecticut 02,0
Blue Rose Consulting Group,BLUE ROSE CONSULTING GROUP INC,W44MU5WNCXU7,7UFA9,"880 Harrison ST SE STE 162,Leesburg, Virginia,20175-4530, United States","880 Harrison ST SE,Suite 162,Leesburg, Virginia,20175-4530, United States",https://www.bluerose-consulting.com/,"Mar 24, 2017",Todd Weiler,Todd A Weiler,"District Of Columbia, United States",Virginia 10,0
Spray,SPRAY CITY HALL,D536G8NJNM46,8GUF2,"300 Park ST,Spray, Oregon,97874-2010, United States","300 Park AVE,P.O. Box 83,Spray, Oregon,97874-2010, United States",,"Jan 1, 1958","Crystal J Rey, City Recorder","Crystal J Rey, City Recorder","(blank), (blank)",Oregon 02,0
Spray,"MCCAIN, JAMES",PSCPKVYP61P6,4VDQ5,"1703 Greg ST,Sparks, Nevada,89431-5938, United States","1703 Greg ST,Sparks, Nevada,89431-5938, United States",https://spraycraftautopaint.com/,"Jan 1, 2018","JAMES MCCAIN - SPRAY CRAFT AUTO PAINTING MCCAIN, OWNER",JAMES MCCAIN - SPRAY CRAFT AUTO PAINTING MCCAIN,"Nevada, United States",Nevada 02,0
Spray,"DEFENSE, HAWAII DEPARTMENT OF",MDZEFA2Z8DN5,4AFZ4,"3949 Diamond Head Road,Honolulu, Hawaii,96816-4413, United States","4204 Diamond Head Road,Hawaii Emergency Management Agency,Honolulu, Hawaii,96816-4495, United States",https://dod.hawaii.gov/hiema/,"Jul 1, 2014",RUSTY SPRAY,"Lauren Mark, Grants Program Manager","(blank), (blank)",Hawaii 01,0
Spray,SPRAY SYSTEMS OF ARIZONA INC,TWRVBK3JJLY8,0LE08,"2202 W Medtronic WAY STE 108,Tempe, Arizona,85281-5107, United States","2202 W. Medtronic WAY,Suite 108,Tempe, Arizona,85281-5107, United States",http://www.spraysystemseri.com/,"Jan 1, 1983","SHANNON BISHOP, Controller","SHANNON BISHOP, CFO","Arizona, United States",Arizona 04,0
Spray,SPRAY SCHOOL DISTRICT 1,S4LPWLGBGMT7,5L2S8,"303 Park ST,Spray, Oregon,97874-2010, United States","PO Box 230,Spray, Oregon,97874-0230, United States",,"Aug 27, 1920","Kim Domenighini, Business Manager",Rochelle Friend,"(blank), (blank)",Oregon 02,0
Global Development & Design,GLOBAL DEVELOPMENT & DESIGN SOLUTIONS LLC,JCBEF9VQG6H4,6T4T5,"5599 S University DR STE 305,Davie, Florida,33328-5323, United States","5599 S University DR STE 305,Davie, Florida,33328-5323, United States",,"Jun 27, 2012","Leon Levy, Member","Gilberto Sanchez, Member","Florida, United States",Florida 22,0
Lori Irvin,"INCENTIVE MANAGEMENT GROUP, LLC",H76EM6LDEN87,8B9P6,"1605 Locust Hill RD STE 107,Greer, South Carolina,29651-6094, United States","1605 Locust Hill RD STE 107,Suite 107,Greer, South Carolina,29651-6094, United States",https://www.imgrewards.com/,"Jun 1, 2000","Carrie B Greene, President","Lori Irvin, Business Development","South Carolina, United States",South Carolina 04,0
BioBot,BIOBOT ANALYTICS INC,HLKDDRDLJAP9,885N6,"501 Massachusetts AVE,Cambridge, Massachusetts,02139-4018, United States","501 Massachusetts Avenue,Cambridge, Massachusetts,02139, United States",https://www.biobot.io/,"Sep 25, 2017","Newsha Ghaeli, President",Mariana Matus,"Delaware, United States",Massachusetts 07,0
SmartContact Team,"FABRIC TRANSPORT SERVICES, LLC",ZLKGWZYYNDR2,(blank),"2422 Stoney Creek RD,Frederick, Maryland,21701-9341, United States","5257 Buckeystown Pike,Frederick, Maryland,21704, United States",,"Oct 12, 2018","Bertram Lacey, CEO","Bertram Lacey, CEO","Maryland, United States",Maryland 06,0
OtherWordly LLC,OTHERWORDLY LLC,DRH5TCVN98N3,9CAH3,"7804 Garland AVE,Takoma Park, Maryland,20912-7712, United States","7804 Garland AVE,Takoma Park, Maryland,20912, United States",https://www.otherwordly.com/,"Jul 14, 2022",Michael Douma,Michael Douma,"Maryland, United States",Maryland 08,0
Pneuma,"PROJECT PNEUMA, INC.",UWUNLBX1YPJ3,(blank),"25 W Fayette ST,Haskins CENTER, 6TH Floor,Baltimore, Maryland,21201-3702, United States","25 W Fayette ST,Haskins CENTER, 6TH Floor,Baltimore, Maryland,21201-3702, United States",,"Mar 20, 2015","Damion Cooper, Chief Executive Officer & Founder","Damion Cooper, Chief Executive Officer & Founder","Maryland, United States",Maryland 07,0
Pneuma,PNEUMA RESEARCH LLC,T3B6HZTFJDK3,(blank),"116 Rushingwater DR,Cary, North Carolina,27513-2835, United States","207 W Millbrook RD,STE 210 Pmb 104,Raleigh, North Carolina,27609, United States",https://pneumaresearch.org/,"Oct 2, 2024","Jesse Myers, CEO","Jesse Myers, CEO","North Carolina, United States",North Carolina 02,0
"RIDO, LLC",SOUTHEAST VOCATIONAL ALLIANCE INC,EJKGRBLJSZA1,39KL9,"12727 Featherwood DR STE 130,Houston, Texas,77034-4908, United States","5450 NW Central,Suite 315,Houston, Texas,77092, United States",,"Aug 26, 2004","Nathaniel Rido, CEO","Rashun Sanders, Office Manager","Texas, United States",Texas 29,0
"RIDO, LLC",RIDO INC,HZHJVMRUG3N7,8XM97,"3522 Ryan ST,Lake Charles, Louisiana,70605-1608, United States","3522 Ryan ST.,Lake Charles, Louisiana,70605, United States",,"Nov 3, 2003","TRICIA COURVILLE, OFFICE MANAGER","TRICIA COURVILLE, OFFICE MANAGER","Louisiana, United States",Louisiana 03,0
SiteScan,"SITESCAN SUBSURFACE IMAGING, INC.",VCJCFLVMD3U6,04S92,"12130 Santa Margarita CT,Rancho Cucamonga, California,91730-6138, United States","12130 Santa Margarita Court,Rancho Cucamonga, California,91730, United States",,"Apr 14, 2020",Mike Hulst,Mike Hulst,"California, United States",California 35,0
Food Waste,WOMEN OF THE SUN,G7W3FKBL6QL8,SNBR0,"Dco -BEIT Jala Street,Bethlehem City,00972, West Bank","Dco -BEIT Jala Street,Beit Jala - Bethlehem City,00972, West Bank",https://womensun.org/,"Feb 22, 2022","Reem Hajajreh, MRS","Reem Hajajreh, MRS","(blank), West Bank",Not Applicable,0
Food Waste,UNION NATIONALE DE LA FEMME TUNISIENNE KAIROUAN,D9LBWGFHQKN3,SFUG9,"Rue Beit Elhekma,Kairouan,3100, Tunisia","Rue Beit Elhekma,Kairouan, Kairouan,3100, Tunisia",,"Aug 13, 1962",Badra Jlassi,Badra Jlassi,"(blank), Tunisia",Not Applicable,0
Food Waste,BEIT ALMUSICA SHEFAAMR (R.A),W8XNSSLJE4M4,4384A,"14 Patriarch Clement Bahouth,Shefaamr,(blank), Israel","Pob 787,Shefaram,2020000, Israel",,"May 31, 1999",Amer Nakhleh,Amer Nakhleh,"(blank), Israel",Not Applicable,0
Pharmaceutical sciences,TSHWANE UNIVERSITY OF TECHNOLOGY,U3GEMW39YV39,SBSN7,"Madiba Street & N Mandela Drive,Arcadia,0001, South Africa","Private Bag X680,Pretoria,0001, South Africa",http://www.tut.ac.za/,"Jan 1, 2004","CLEMENCE TARIRAI, PROF.","CLEMENCE TARIRAI, PROF","(blank), (blank)",Not Applicable,0
Pharmaceutical sciences,TSHWANE UNIVERSITY OF TECHNOLOGY,HZLNJ59KMNL9,SBWN1,"Staatsartilerie Road,Pretoria, Gauteng,0186, South Africa","Private Bag X680,Pretoria,0001, South Africa",http://www.tut.ac.za/Students/facultiesdepartments/science/departments/pharmascience/Pages/default.aspx,"Jan 1, 2004","CLEMENCE TARIRAI, PROF","ZUKILE MATSHAYA, MR","(blank), (blank)",Not Applicable,0
"Phase, Inc.",MILLENNIUM EXPERTS (SMC-PRIVATE) LIMITED,P2QXK3235J63,SSBD9,"B-8, Suechs Phase 2, JAMSHORO, B-8, Suechs Phase 2, Jamshoro,Jamshoro,76060, Pakistan","B-8, Suechs Phase 2, JAMSHORO, B-8, Suechs Phase 2, Jamshoro,Jamshoro,76060, Pakistan",,"Dec 6, 2022","Ramesh Kumar, Mr","Ramesh Kumar, Mr","(blank), Pakistan",Not Applicable,0
"Phase, Inc.",READ-LAND GLOBAL LTD,P8YMCRS7VJF1,SLMY1,"16 African LANE, Off Admiralty RD, Lekki Phase 1,Lekki Phase 1,Lagos,23401, Nigeria","16 African LANE, Off Admiralty RD, Lekki Phase 1,Lekki Phase 1,Lagos, Lagos,23401, Nigeria",,"Sep 10, 2021",Temiloluwa Adeshina,Temiloluwa Adeshina,"(blank), Nigeria",Not Applicable,0
"L&D Enterprises, LLC","L & D ENTERPRISES OF ORLANDO, INC.",QPCNCCV1ZWR5,8V8U7,"2155 Aloma AVE,Winter Park, Florida,32792-3325, United States","2155 Aloma AVE,Winter Park, Florida,32792, United States",https://www.alomacinemaandgrill.com/home,"Feb 1, 1981","William Liebe, president","William Liebe, president","Florida, United States",Florida 07,0
"Park & Diamond, inc.",VACGEN LIMITED,H2GKQLE1S5K9,U1UT3,"Unit A,Swallow Enterprise Park,Hailsham,BN27 4EL, United Kingdom","Unit A,Swallow Business PARK, Diamond DRIVE, Lower Dicker,Hailsham, East Sussex,BN27 4EL, United Kingdom",,"Feb 11, 2005","Philip Jackson, Finance Manager","Philip Jackson, Finance Manager","(blank), United Kingdom",Not Applicable,0
iDx,VANASSE HANGEN BRUSTLIN INC,HYSEVD86MRT5,58UW5,"40 Idx DR,# 100,South Burlington, Vermont,05403-7771, United States","40 Idx DR # 100,South Burlington, Vermont,05403-7771, United States",http://vhb.com/,"Jan 1, 1979","DAVID SALADINO, Managing Director","DAVID SALADINO, Managing Director","Massachusetts, United States",Vermont 00,0
iDx,IDX CORP,VKKEDDSXQDL4,8KKS3,"2801 E Beltline AVE NE,Grand Rapids, Michigan,49525-9680, United States","2801 E. Beltline AVE. NE,Grand Rapids, Michigan,49525, United States",https://www.idxcorporation.com/,"Aug 18, 1999","Scott Stewart, VP Commercial","Jessica Burgett, Marketing Communications Manager","Delaware, United States",Michigan 03,0
