company,businessStatus,employees,description,legalName,revenue,primaryIndustrySector,hqAddressLine1,hqLocation,companyWebsite
Nicelle Technologies,Startup,3,"Developer of a clean technology company intended to revolutionize the textile fiber industry through innovation and sustainability. The company specializes in developing fiber production and recycling techniques and minimizing environmental impact, enabling the textile industry to reduce waste and emissions throughout the production cycle.","Nicelle Technologies, LLC.",,Materials and Resources,,"Raleigh, NC",www.nicelletech.com
OcuClips,Stealth,3,"Operator of an eyewear company based in Ellicott City, United States. The company is currently operating in stealth mode.",OcuClips LLC,,Consumer Products and Services (B2C),,"Ellicott City, MD",www.ocuclips.com
Paterson Aerospace Systems,Startup,3,"Developer of space exploration technology designed to build a future where space exploration is sustainable. The company offers research and development technologies that address challenges in space travel, potentially aiming for a sustainable human presence beyond Earth, enabling the company to progress in areas like spacecraft propulsion, resource utilization in space, or life support systems for space habitats.",Paterson Aerospace Systems Limited,,Business Products and Services (B2B),,"Wilmington, DE",www.patersonaerospace.com
PathoVax,Generating Revenue,3,"Developer of an HPV vaccine designed to combat infectious diseases. The company's product is a broad-spectrum vaccine for the treatment of human papillomavirus, enabling users to get cured of various contagious diseases.",PathoVax LLC,,Healthcare,1812 Ashland Avenue,"Baltimore, MD",www.pathovax.com
Pirl,Generating Revenue,3,"Developer of electric vehicle charging devices designed to offer a sustainable alternative for electric vehicles. The company offers services that accelerate humanity's transition to a future of clean, electric transport by developing a next-generation electric vehicle charging infrastructure, enabling customers to assist with the transition to electric vehicles.",Pirl Technology Inc.,,Information Technology,219 Harpers Way,"Frederick, MD",www.pirlcharger.com
QubitSolve,Product Development,3,"Developer of computational fluid dynamics (CFD) simulation software for quantum computers. The company's variational quantum algorithm helps solve Navier-Stokes equations, the fundamental basis of almost all CFD simulations, enabling a new class of Quantum CFD solutions to currently intractable problems.","QubitSolve, Inc.",,Business Products and Services (B2B),781 Chestnut Ridge Road,"Morgantown, WV",www.qubitsolve.com
RemBac Environmental,Generating Revenue,3,Provider of site remediation products intended for in situ bioremediation of sediments and soils contaminated with polychlorinated biphenyls. The company assesses the PCB-impacted site to determine whether bioremediation is a suitable treatment option either alone or in combination with other treatment options and provides the required dosage of microorganisms and activated carbon to treat the PCB-contaminated site.,RemBac Environmental LLC,,Business Products and Services (B2B),3140 Edgewood Road,"Howard County, MD",www.rembac.com
Renalert,Startup,3,"Developer of a kidney monitoring system designed to prevent needless deaths due to acute kidney injury. The company's system monitors patient urine precisely measuring the volume while correlating these values with other vital signs to estimate renal perfusion and it also incorporates a proprietary algorithm to detect early declines in kidney function, enabling medical professionals to detect acute kidney injury easily and offer treatment accordingly.","Renalert, LLC.",,Healthcare,101 West Dickman Street,"Baltimore, MD",www.renalert.co
True Bearing Diagnostics,Generating Revenue,3,"Developer of a blood testing tool designed to detect coronary diseases at an early stage. The company's tool senses immune imbalances in blood with accuracy, enabling doctors to increase diagnostic accuracy, expanded access to a currently inaccessible patient pool, and significantly reduce, the expensive and invasive requirement for multiple tests to diagnose CAD.","True Bearing Diagnostics, Inc.",7.00,Healthcare,2450 Virginia Avenue,"Washington, DC",www.truebearingdiagnostics.com
UpTahr Analytics,,3,"Uptahr LLC, a technology consulting firm, offers custom software development, data science, and AI solutions. Their services include web and mobile engineering, chatbot integrations, and data analysis and visualization. BlueOne, another technology company, also provides similar services in web and mobile engineering, chatbot integrations, and data analysis and visualization.",,,Business Products and Services (B2B),387 Technology drive,"College Park, MD",uptahr.com
Virtual Apprentice,Generating Revenue,3,"Provider of virtual reality training services intended to optimize workforce training through virtual reality. The company provides immersive and interactive training experiences that are designed to help businesses improve their workforce training, enabling businesses to close the workforce talent gap, and is grounded in adult learning theory.",Virtual Apprentice LLC,,Business Products and Services (B2B),1 Research Court,"Rockville, MD",www.virtualapprentice.net
1787fp,Generating Revenue,2,"Operator of a fintech company intended to provide a financial management platform for investors. The company's platform combines three powerful financial management tools finance tracking, investment management, and credit monitoring all unified in one platform, enabling investors to work towards financial independence and take control of their finances.","1787 Financial Corporation, Inc.",,Information Technology,2231 Crystal City Drive,"Arlington, VA",www.1787fp.co
ACUITYnano,Generating Revenue,2,"Operator of a scientific R&D-centric company intended to offer solutions for the exploration and manipulation of the nano- and micro world in which life functions. The company leverages advanced embedded systems and control algorithms, computer vision, and machine learning in conjunction with microfluidics and optics and offers consultancy, product development, and technology and IP transfer to meet the critical needs that emerge at the convergence of nanotechnology and life sciences, thereby helping clients to identify business value drivers that will be key for turning ideas into innovation and into commercial performance to solve pressing challenges in health and medicines.",ACUITYnano LLC,,Healthcare,5425 Wisconsin Avenue,"Chevy Chase, MD",www.acuitynano.com
Advanced Biomimetic Sensors,,2,"Developer of medical diagnostic and monitoring technologies. The company's objective is to create and improve medical devices for various diseases. They design, produce, and market their products. The company is located at 6710A Rockledge Drive, Suite 400, Unit 405, Bethesda, MD 20817.",Advanced Biomimetic Sensors Inc,,Healthcare,11140 Rockville Pike,"Rockville, MD",abs-isensors.com
Advancing Synergy,,2,"Developer of health equity solutions that improve long-term health outcomes. Advancing Synergy leverages research, science, health care, public health, and information technology to develop innovations that engage individuals and impact communities. The company is committed to eliminating health disparities to achieve health equity and justice. Their tailored programmatic and strategic support delivers effective solutions to clients.",,,Business Products and Services (B2B),1450 S Rolling Rd,"Baltimore, MD",advancingsynergy.com
Aevus Precision Diagnostics,Generating Revenue,2,"Developer of an artificial intelligence (AI) powered prescription guidance platform intended to improve type 2 diabetes (T2D) drug outcomes, reduce medication switching, and lower treatment costs. The company's platform specializes in precision medicine, adverse drug reactions, machine learning, and personalized medicine, enabling patients to reduce the burden by limiting medication switching, minimizing side effects, and matching them to a suitable available drug.","Aevus Precision Diagnostics, Corp.",,Healthcare,3301 12th Avenue South East,"Norman, OK",www.aevus.ai
AliquantumRx,Clinical Trials - Phase 3,2,"Operator of a drug discovery platform designed to treat liver-stage malaria. The company's platform develops a macrolide for new use as a treatment for several diseases where it has significant potential to provide valuable new treatments, enabling people to get protection against clinical and harmful illnesses.",AliquantumRx Inc.,,Healthcare,1812 Ashland Avenue,"Baltimore, MD",www.aliquantumrx.com
Barter Black,Generating Revenue,2,"Developer of a barter marketplace platform designed to empower Black entrepreneurs. The company's platform allows Black entrepreneurs to exchange services and goods using a secure, internal digital currency called Barter Bucks by eliminating the need for upfront cash and allows members to conserve financial resources, enabling users to enhance their business capabilities.","Barter Black, LLC",,Information Technology,10127 Prince Place,"Upper Marlboro, MD",www.barterblack.io
Blimp (Logistics),Generating Revenue,2,"Operator of a logistics company intended to specialize in drone-based delivery and logistics services. The company offers transport large and heavy payloads services and also provide respond to emergencies, making them valuable for disaster relief and other critical situations, enabling to help client to be secure and safe about their products.",Blimp Logistics Inc.,,Business Products and Services (B2B),9011 Gettysburg Lane,"College Park, MD",www.blimplogistics.com
CIDE KIC,Generating Revenue,2,"Operator of a kitchen management platform designed to administrate true visibility and complete insight into day-to-day operations in the kitchen. The company's digital platform integrates all aspects of kitchen management and operates interactive tools for onboarding and training and converts to workflow consistency and transparency, enabling professional chefs to improve compliance, mitigate potential risks, improve autonomy, and capture critical data within their customer database.","Cide Kic, Inc.",,Information Technology,1833 New Hampshire Avenue,"Washington, DC",www.cidekic.com
Coordle,Generating Revenue,2,"Developer of a group travel platform designed to create a seamless inclusive travel experience as an intuitive, hassle-free, complete ecosystem. The company's platform provides travel alerts and reminders and solves the problem of managing documents, finding places to eat, getting up-to-date travel information and group chats, enabling travelers to get access to a central location to manage all their information related to trips and assistance for all of their needs.",Coordle LLC,,Information Technology,8 The Green,"Dover, DE",www.coordleapp.com
Cursive (Educational Software),Startup,2,"Operator of an education technology company intended to uncover a student's true writing skills. The company offers seamless biometric authentication, ensuring consistent identification of students throughout their academic writing, enabling teachers and students to show 'proof of effort' for writing in the classroom and bringing authorship back to the forefront.","Cursive Technology, Inc.",0.01,Information Technology,2600 East Baltimore Street,"Baltimore, MD",www.cursivetechnology.com
Djit Medtech,Product In Beta Test,2,"Developer of finger joint implant device intended for arthritis patients. The company's device relieves pain and preserves motion for all types of hand arthritis, enabling patients to make joint replacement for fingers as routine and reliable as knee and hip replacements.","Djit Medtech, Inc.",,Healthcare,1628 Bolton Street,"Baltimore, MD",www.djit-medtech.com
DNA Analytics,Generating Revenue,2,"Developer of AI analytics platform intended for gene therapies, vaccines, and diagnostics. The company's platform will improve the prediction of gene probe match strength and effect of locked nucleic acids and chemical modifications on CRISPR, siRNA, and antisense guide strands, enabling scientists to model gene probe sequences, and through statistical algorithms.","DNA Analytics, Inc.",,Information Technology,10 Lakeview Circle,"Greenbelt, MD",dnaanalytics.com
Door Robotics,Startup,2,"Manufacturer of virtual reality drones designed to take pictures and videos. The company's drones capture 360-degree footage and convert it into standard video and also offer live virtual reality streaming, enabling users to get a hands-free way to capture the full scenario.","Door Robotics, Inc.",,Information Technology,6 Florida Avenue North West,"Washington, DC",doorrobotics.launchrock.com
"Drakeford, Scott & Associates",Generating Revenue,2,"Operator of an e-learning platform intended to provide research-driven services. The company's platform provides online courses and lives courses for research
grant and bid writing, enabling people to find their purpose and launch a business or nonprofit.","Drakeford, Scott & Associates LLC",,Consumer Products and Services (B2C),221 East Indianola Avenue,"Phoenix, AZ",www.drakefordassociates.org
Enerytics,,2,"Developer of energy management software-as-a-service solutions. Enerytics' objective is to optimize energy demand management strategies in commercial and industrial facilities, with a focus on facilitating GEB adoption. The company offers solutions to help businesses reduce energy consumption and costs, while also improving sustainability and compliance.",,,Information Technology,,"Potomac, MD",enerytics.com
Epsilon Innovation,Generating Revenue,2,"Provider of consulting services in energy, climate change, environment, policy, and risk analysis. The firm offers customized data analytics tools, policy analysis, and economic development services to clients. They also provide services related to climate resilience data analytics, energy workforce planning, and renewable energy system designs. The company has a team of experts, scientists, and consultants who work globally, serving international and national governments and emerging markets.",,,Information Technology,,"Mukilteo, WA",epsiloninnovation.com
Freshmeet U,Generating Revenue,2,"Developer of an AI-based learning and job placement platform designed to serve the creative freelancers. The company offers a range of corporate creative videos, sports shows, films, and featured artists.","Freshmeet U., L.L.C.",,Consumer Products and Services (B2C),Reisterstown,MD,www.freshmeetu.com
InfraTrac,Generating Revenue,2,"Developer of a chemical tagging technology intended to reduce counterfeiting, and enable instant field authentication. The company's technology uses spectroscopy to detect and prevent counterfeiting of high-value regulated materials including aerospace parts and pharmaceuticals, enabling companies to take tracking and anti-counterfeiting measures and differentiate the fakes from the real products.","InfraTrac, Inc.",,Materials and Resources,Silver Spring Innovation Center,"Silver Spring, MD",www.infratrac.com
Journiy,Generating Revenue,2,Developer of digital care management platform and provider of healthcare services designed for chronic care management. The company's application provides a diverse selection of healthy food recipes that align with the culinary preferences and cultural backgrounds of the users and offers chronic care management to remote patient monitoring to transition care management services.,,,Healthcare,Montgomery Village,"Gaithersburg, MD",www.journiywellness.com
Linksciences,Generating Revenue,2,"Operator of a data-driven scientific network intended to develop integrated tools for science and medicine. The company offers services such as free antibody citation, premium web listing, product citation tracking, business intelligences services, targeted research data services and customized research data alternative, clients to get wealth of information connections, and tools to accelerate research, collaboration, and innovation.","Linksciences, LLC",,Healthcare,701 East Pratt Street,"Baltimore, MD",www.linksciences.com
Materic,Generating Revenue,2,"Manufacturer and designer of custom materials intended to provide manufacturing, joint development programs, and products. The company designs and manufactures materials and specializes in electrospinning, nanoparticle separation, textile treatments, 3D printing materials, specialty ink, and microencapsulation, enabling clients to access custom equipment in various disciplines.","Materic, LLC",,Business Products and Services (B2B),1300 Bayard Street,"Baltimore, MD",www.matericgroup.com
NDN International,Generating Revenue,2,"Developer of a portable hand washing station designed for parks, schools, offices, restaurants, residential homes, emergency shelters, and more. The company device is intended to be used without electricity, or running water, and also does not need foot pumping, making it easily accessible to children, adults, and wheelchair-bound consumers.",NDN International LLC,,Business Products and Services (B2B),12016 Great Elm Drive,"Potomac, MD",www.ndninterntl.com
Open Dollar,Generating Revenue,2,"Developer of a protocol platform designed to offer access to simple and predictable loans. The company's platform allows users to borrow against liquid staking tokens and arbitral native assets with flexible and transparently over-collateralized stablecoin as well as over-collateralized with a stable value maintained through proactive debt repricing, enabling clients and users to leverage their liquid staking tokens with the flexible stablecoin protocol.",Nifty Chess Inc.,,Information Technology,1779 Kirby Parkway,"Memphis, TN",www.opendollar.com
Ovalz,Out of Business,2,"Developer of an inventory management platform designed to help every business gain economic insight from its data. The company's platform digitally manages audit activity across selling channels like an e-commerce site, store, or mobile application and syncs the reported inventory quantities by site location, enabling companies to increase sales through detailed insights.","Ovalz, Inc.",,Information Technology,7761 Diamondback Drive,"College Park, MD",www.ovalz.io
Phase (Cornelius),Generating Revenue,2,Manufacturer of 3D printing technology for microfluidics that create more realistic biological environments. The company helps to create microfluidics in the industry-standard material at a speed and resolution to create true biological models that propel bio innovation across the biotech industry.,,,Healthcare,11148 Treynorth Drive,"Cornelius, NC",www.phase.am
Physics Inverted Materials,,2,"The company primarily operates in the Operating Systems Software industry. Physics Inverted Materials is headquartered in Pittsburgh, PA.",,,Information Technology,,"Pittsburgh, PA",phinmaterials.com
Pocket Plan,Generating Revenue,2,"Developer of a web-based financial planning platform designed to create, manage, and share financial plans. The company's platform offers a range of features including financial plan creation, real-time reports, client data management, advisor network, lead generation, project management, scheduling integration, and more, enabling freelancers and entrepreneurs to manage their finances more efficiently and make informed decisions while achieving their goals.",Pocket Planner Inc,,Information Technology,5850 Waterloo Road,"Columbia, MD",www.pocketplan.io
Prommuni,Generating Revenue,2,"Operator of social networking platforms intended to in assist in finding roommates. The company's all-in-one platform integrates a professional's personal, rooming, and networking needs and has a chat feature to discuss and share preferences, enabling users to find roommates using an algorithm of their preferences.",,,Consumer Products and Services (B2C),,"Washington, DC",prommuni.com
Redhelm Labs,Startup,2,"Developer of a defense tech designed to transform the drone industry. The company specializes in laser drone, empowering businesses and individuals with safe, and sustainable aerial solutions.",Redhelm Labs LLC,,Business Products and Services (B2B),8125 48th Avenue,"College Park, MD",www.redhelmlabs.com
Revolve Biotechnologies,Out of Business,2,"Developer of a protein and nucleic acid evolution technology designed to produce custom DNA libraries. The company's platform develops an ultra-affinity antibody discovery engine with a pipeline of protein products in development, enabling healthcare researchers to create antibodies for diagnostic and therapeutic applications, oncolytic cancer therapeutics, and infrared fluorescent proteins for live deep-tissue imaging.","Revolve Biotechnologies, Inc.",,Healthcare,1100 Wicomico Street,"Baltimore, MD",www.revolvebiotech.com
Rise Technology,Generating Revenue,2,"Developer of closed-loop electrostimulation technology designed to advance human body wellness and disease control applications. The company offers cutting-edge, wearable electrostimulation devices, enabling individuals seeking wellness and therapeutic relief to experience enhanced health benefits.",Rise Technology Inc.,,Healthcare,2710 Crow Canyon Road,"San Ramon, CA",www.myrisetech.com
Sanyal Biotechnology,Generating Revenue,2,"Provider of contract research services to clients seeking small animal models for their pre-clinical research. The company offers preclinical research into liver disease and other comorbidities resulting from metabolic syndrome and develops customized studies to provide a professional interpretation of data, enabling clients to receive a professional interpretation of customized studies based on screening of the desired compounds.",Sanyal Biotechnology LLC,2.14,Healthcare,3645 East Faculty Boulevard,"Virginia Beach, VA",www.sanyalbio.com
Scinetics,,2,"The company primarily operates in the Media and Information Services (B2B) industry. Scinetics is headquartered in Abingdon, MD.","Scinetics, Inc.",,Business Products and Services (B2B),,"Abingdon, MD",scineticsinc.com
Second Star Robotics,,2,"Developer of autonomous robotics solutions for ocean observation. Second Star Robotics provides low-cost, long-endurance sensing platforms for data collection in the oceans' twilight zone. Their products serve markets such as academic research, media production, utilities, and energy.",,,Business Products and Services (B2B),2333 Distribution Circle,"Silver Spring, MD",secondstarrobotics.com
Sensing Machines,Generating Revenue,2,"Provider of an engineering consulting service intended to create and develop the technology. The company offers engineering design services specializing in printed circuit board(PCB) design, microelectromechanical systems(MEMS) design, and packaging services, enabling clients to meet their demands on time and within their budget.",Sensing Machines LLC,,Business Products and Services (B2B),12010 Hammonds Glen Circle,"Kingsville, MD",www.sensing-machines.com
SpherIngenics,Out of Business,2,"Developer of microbead technology designed to produce protective capsules for the delivery of cell-based therapies. The company's technology ensures that the cells are localized at the targeted area and maintain continued viability after injection, enabling healthcare professionals to help patients by repairing the majority of these therapeutic cells through cell-based therapy.","SpherIngenics, Inc.",,Healthcare,313 Ferst Street,"Atlanta, GA",www.spheringenics.com
SpreadKarma,Generating Revenue,2,"Provider of funding campaigns screening services intended to ensure its legitimacy and positive impact. The company contains vetted, trustworthy projects that add real value for the people who need it most, personally screen each campaign before allowing them on the site, ensuring people invest in funds that will have a measurable positive impact on underserved communities.","Spread Karma, LLC",,Business Products and Services (B2B),7109 Sollers Point Road,"Baltimore, MD",stage.spreadkarma.org
SpringGem Weather Information,Generating Revenue,2,"Operator of a weather forecasting platform intended to give current and forecasted weather and energy information. The company's platform integrates weather numerical forecasting, satellite and grounds remote sensing, data science, and cloud computing to provide hyperlocal weather information for urban energy, traffic safety, agriculture monitoring, and environmental assessment, enabling people and organizations to have accurate weather information as per their needs.","SpringGem Weather Information, LLC",,Consumer Products and Services (B2C),10804 Tuckahoe Way,"North Potomac, MD",sg-weather.com
Swiftink,Generating Revenue,2,"Developer of an artificial intelligence platform designed to transform audio and video content into precise text. The company's platform offers a domain-aware tool that understands specific lexicons and tasks, transcribes and translates different languages integrates with productivity tools, and processes multi-hour files.",,,Information Technology,,"Washington, DC",www.swiftink.io
Vaultuno,Startup,2,"Developer of an artificial intelligence platform designed for portfolio management. The company offers copilot guidance, real-time insights, investment education, and more, enabling retail investors to build, test, and deploy trading strategies quickly through a conversational copilot.",Vaultuno Corp.,,Information Technology,269 Singletary Lane,"Framingham, MA",www.vaultuno.com
Your Health Concierge,,2,"Operator of health and wellness coaching services. Your Health Concierge provides mental and physical wellness services, aimed at enhancing overall health and wellbeing.","Your Health Concierge, Inc.",,Consumer Products and Services (B2C),"2 Wisconsin Circle, Suite 700","Bethesda, MD",yourhealthconcierge.org
360 Dash,Generating Revenue,,"Developer of safety-monitoring devices designed to keep drivers safe during stops with law enforcement and impostors. The company's cameras feature panoramic view, wifi enabled, cloud backup, live stream connection, GPS for geo-tagging the footage, and more, thereby helping drivers capture everything from recording hit-and-run accidents to documenting encounters with the police.",360 Dash LLC,,Consumer Products and Services (B2C),672 Old Mill Road,"Millersville, MD",www.360dash.us
360VR Technology,Out of Business,,"Developer of an information platform technology designed to increase effectiveness and information visibility in all stages of emergency planning and response. The company's technology platform is specifically designed for use in day-to-day operations and in emergency response to save lives, enabling users to create an immersive media experience by using their marketing expertise, 3-D photography and drone technology.",,,Information Technology,,"Newark, DE",www.360vrtechnology.com
3D Flexible,Generating Revenue,,"Operator of a 3D printing technology company intended to offer additive technology. The company offers a variety of 3D printing services, including system integration and software or hardware development, to help users realize their designs and creations, enabling customers to benefit from expertise in materials and technology.",3DFlexible Inc,,Business Products and Services (B2B),10830 Guilford Road,"Annapolis, MD",www.3dflexible.com
Advanced Analyzer Labs,Startup,,Provider of undisclosed products and services.,"Advanced Analyzer Labs, Inc.",,Business Products and Services (B2B),3982 Old Columbia Pike,"Ellicott City, MD",
AGAPE Strategic Solutions,Generating Revenue,,"Operator of a research and technology consultancy intended for biopharmaceutical research, health systems training, and community-based engagement. The company conducts and evaluates evidence with a focus on diverse perspectives and strategies aimed at eliminating disparities in health outcomes using both in-person and AI web-based applications, enabling its users to be informed and engaged in medical research that addresses gaps in care, health equity, and costs within the healthcare and social ecosystem.","AGAPE Strategic Solutions of Maryland, LLC",,Healthcare,3102 Tribune Court,"Hyattsville, MD",www.agapessom.com
American Biosystems,Generating Revenue,,"Developer of microbial and enzyme-based products intended for for agriculture, animal industry, and enzyme markets. The company offers products that aid in animal feed, aquaculture, and municipal wastewater treatment by utilizing environmentally friendly bacteria and enzymes, enabling industries and markets to address their needs with enzymes and ingredients while remaining environmentally responsible.",American Biosystems Inc.,,Materials and Resources,P.O. Box 1523,"Roanoke, VA",www.americanbiosystems.com
Assure Medical Technologies,Generating Revenue,,"Operator of a healthcare device and equipment company intended to keep patients safe and healthy. The company offers a precise device that assists healthcare professionals in measuring the correct amount of medicine with a syringe, enabling healthcare professionals to improve patients' safety in hospitals.",Assure Technologies LLC,,Healthcare,200 Butternut Drive,"Chapel Hill, NC",www.nuvai.ai
Bashpole Software,Generating Revenue,,"Owner and operator of a software development company intended to design software suite for facilitating breach prevetntion and maintaining data privacy. The company's software products mainly focus on applied research and development on many advanced computer science topics including without limitation deep learning, Information fusion, big data analytics, intelligence, surveillance and reconnaissance exploitation, imagery and visualization, optical character recognition and language technology, enabling local, state and federal governments, the US Military, for-profit businesses and nonprofit clients to detect and eliminate data security risks.","Bashpole Software, Inc.",,Information Technology,8791 East Wesley Lane,"North Webster, IN",www.bashpolesoftware.com
BioBind,Startup,,"Operator of a biotechnology company intended to mitigate the effects of toxic metal exposure in the human body. The company is developing a chelation therapy that can bind to and sequester various toxic metals, such as lead, mercury, cadmium and arsenic, enabling healthcare professionals to help reduce the concentration in the patient's body and mitigate the harmful effects.",BioBind Inc.,,Healthcare,4620 Henry Street,"Pittsburgh, PA",
Biokmir,Startup,,"Developer of point-of-care diagnostic tool intended to detect multi-drug resistant tuberculosis (MDR-TB) infection. The company is designing a molecular diagnostic device that uses nucleic acid amplification technology to detect MDR-TB in a matter of hours, enabling healthcare providers in developing countries to diagnose MDR-TB more quickly and accurately.",Biokmir Africa LLC,,Healthcare,"5, Rue Rouget De L'isle, 6th floor","Casablanca, Morocco",www.biokmir.com
Bolston Technology,Startup,,"Developer of wildfire protection products designed to mitigate the threats of wildfires. The company's products improve the growing problem of wildfires, which are becoming more frequent and destructive due to climate change, topography, and poor fire management strategies, enabling citizens and professionals with peace of mind and survival options for people living in high-risk areas.","Bolston, LLC",,Business Products and Services (B2B),1519 York Road,"Lutherville Timonium, MD",www.bolston.net
Brayearst Validation Consulting,,,"Brayearst Validation Consulting is a validation consulting company that specializes in FDA compliance and process optimization using Six Sigma. Their services include installation qualification, operation and performance qualification, process performance qualification, cleaning validation, software validation or computer system validation, test method validation or analytical method validation, validation master plan, validation training, and Six Sigma training. The company has over 30 years of experience in the chemical and medical device manufacturing industries and operates under NAICS codes 541690 and 611430.",,,Business Products and Services (B2B),"1777 Reisterstown Rd, W-22 PMB 221","Pikesville, MD",brayearst.com
BTU Insight,Startup,,"Developer of solar products intended to eliminate or reduce monthly energy expenses. The company's products are eco-friendly heating products for tiny homes and trailer homes and are designed to support outdoor living, beaches and disaster recovery efforts where sanitization systems are nonfunctioning, enabling users to improve the environment and the community using solar technology and also save money.",BTU Insight LLC,,Consumer Products and Services (B2C),2119 Robert Bowie Drive,"Upper Marlboro, MD",www.btuinsightllc.com
CA Enterprise (Other Commercial Products),Generating Revenue,,"Provider of undisclosed products and services headquartered in Suitland, Maryland.",CA Enterprise LLC,,Business Products and Services (B2B),2220 Lakewood Street,"Suitland, MD",www.caenterprise.net
Capital eXperience Group,,,"Operator of change management and technology adoption services for businesses. Capital eXperience Group provides project rescue, technology adoption and change management, and leadership coaching services. The entity caters to diverse industries.",,,Information Technology,,"Washington, DC",capitalexperiencegroup.com
Carecompanion,Generating Revenue,,"Developer of a medical network directory platform designed to automatically generate personalized care plans and eliminate time-consuming processes of manual retrieval and transfer between healthcare providers. The company's platform manages and suggests care plan recommendations derived from comprehensive EMR data, lifestyle data, social determinants of health, and research-backed clinical interventions, thereby enabling physicians and health managers to access critical patient information and integrate with the existing healthcare system and granting instant access to various medical records, whiling reduce delays.","Carecompanion, Inc.",,Healthcare,,"Washington, DC",ourcarecompanion.com
CeleFlux,Pre-Clinical Trials,,"Developer of urological medical device designed to reconstruct the urethra in order to restore urine flow in the human body. The company's device bridges the gap between current minimally invasive management options and open surgical reconstruction, enabling patients to restore their quality of life through easy treatment of urology.",CeleFlux LLC,,Healthcare,463 Severnside Drive,"Severna Park, MD",www.celeflux.com
ClearAlignment,,,"The company primarily operates in the Educational and Training Services (B2C) industry. ClearAlignment was founded in 2017 and is headquartered in Towson, MD.",,,Consumer Products and Services (B2C),7400 York Rd,"Towson, MD",clearalignment.org
Clearview360,Out of Business,,"Developer of organizational assessment tools designed for the needs of the rapidly changing healthcare environment. The company's tools incorporate cultural competency with patient satisfaction and experience assessments as well as provide consulting that improves clinical, operational, financial, and experiential outcomes, enabling healthcare organizations with an integrated view of performance.","Clearview Organizational Assessments, LLC",,Healthcare,7702 Plum Street,"New Orleans, LA",www.clearview360.org
Corduroy Diagnostics,Out of Business,,Developer of diagnostics products designed for medical industry.,Corduroy Diagnostics LLC,,Healthcare,1001 Rockville Pike,"Rockville, MD",www.cordoroydx.com
Cranenano,Generating Revenue,,"Provider of consultancy services intended to offer high-quality consultancy services and platform technology in different customer segments. The company's service provides management, scientific and technical consultancy, research, development, and test of anti-fouling and corrosion coating formulations, development of prototypes, licenses, patents, pilot and commercial scale nanocomposite coatings manufacture, enabling companies to get coating formulations with benefits of shorter curing time and longer lifespan.",Cranenano LLC,,Business Products and Services (B2B),31 Orchard Drive,"Gaithersburg, MD",www.cranenano.com
Creative Genius Works,Generating Revenue,,"Operator of a creative media company intended for innovation, influence, and imagination, with integrity. The company helps their clients magnify their visions into products and services that make a positive impact on the world, enabling individuals and organizations to achieve their full potential through creativity, innovation, and entrepreneurship.","Creative Genius Works, LLC",,Consumer Products and Services (B2C),410 East 22nd Street,"Baltimore, MD",www.creativegeniusworks.com
Cusack Prep,,,"Operator of a tutoring service geared towards academic success and college preparation. Cusack Prep provides expert tutors for math, science, humanities, standardized test prep, and more. Tutors personalize their approach to each student's learning style and offer tailored support.",Cusack Prep LLC,,Information Technology,5141 Dudley Ln,"Bethesda, MD",cusackprep.com
Cyberstanc,Generating Revenue,,"Provider of cybersecurity services intended to protect businesses from sophisticated cyber threats. The company leverages artificial intelligence to provide comprehensive cybersecurity solutions through enhanced protection against evolving threats, proactive security, improved security posture and improved preparedness, enabling customers to protect their data, systems, and networks from evolving cyber threats.",Cyberstanc Corp.,,Business Products and Services (B2B),8 The Green STER,"Dover, DE",www.cyberstanc.com
Cykloburn Technologies,Out of Business,,"Developer of low-emission combustion technology designed to commercialize an innovative poultry waste-to-energy technology. The company's technology uses a fluidized bed combustion system to overcome the disadvantages of existing biomass-to-energy services, which represents a significant value proposition to individual poultry farmers, by ridding them of waste, enabling users to manage environmentally damaging pollution from excess poultry farm litter and generating energy from renewable resources.","Cykloburn Technologies, LLC",,Energy,1200 Shore Road,"Baltimore, MD",www.cykloburn.com
Digii Digital,Generating Revenue,,"Developer of wearable digital displays designed for graduation ceremonies. The company's product is a lightweight, high-resolution display that graduates can customize with photos or text using a mobile app, allowing graduates to showcase their memories and messages in a novel way, enhancing their graduation experience.",Digii Digital LLC,,Information Technology,131 Swiss Gap Road,"Upper Marlboro, MD",www.digiidigital.com
Early Charm Ventures,Generating Revenue,,"Operator of venture studio firm intended to help convert science to business. The company specializes in the scientific discoveries made at universities and turning them into companies focused on growth that create sustainable value as well as actively manage and maintain governance control over portfolio companies in the initial years of operations, enabling clients to actively self-manage industries.","Early Charm Ventures, LLC",,Financial Services,1300 Bayard Street,"Baltimore, MD",www.earlycharm.com
Edessa,Generating Revenue,,"Edessa is a Fontana, CA based private company whose line of business is Mfg concrete products","Edessa, Inc.",,Materials and Resources,11027 Cherry Ave,"Fontana, CA",
Epigenos Biosciences,Generating Revenue,,Developer of drug therapy. The company develops personalized epigenome-based therapeutics that leverage Cas9 technology to treat diseases at the root of gene misregulation.,Epigenos Biosciences Inc.,,Healthcare,5151 McCrimmon Parkway,"Morrisville, NC",www.epigenos.com
Flexadyne,Out of Business,,"Developer of medical braces designed for patients recovering from ACL injuries. The company's braces use 3D printing technology, and CAD design software and consult directly with healthcare providers to ensure a perfect fit and custom printed for each patient, enabling customers to get a comfortable and durable brace at affordable rates.","Flexadyne, Inc.",,Healthcare,1001 Emmet Street North,"Charlottesville, VA",www.flexadyne.co
