company,companyPbId,dealPbId,dealDate,dealSize,dealSizeStatus,investors,dealType,dealSynopsis
PathoVax,154482-13,141024-88T,30-Aug-2018,2.75,Actual,United Heath Investments (Allan Zhu),Corporate,"The company received $2.75 million of financing in a round led by United Heath Investments on August 30, 2018. Other undisclosed investors also participated in this round."
PathoVax,154482-13,203934-07T,20-Dec-2017,0.87,Actual,,Grant,"The company received a $873,677 grant from National Institutes of Health on December 20, 2017."
PathoVax,154482-13,257419-81T,01-Jan-2020,0.67,Actual,National Science Foundation,Grant,"The company received $671,538 of SBIR Phase II grant funding from National Science Foundation in 2020."
Pay Your Tuition,117769-33,52782-40T,01-Jan-2015,,,Rashad Moore (Rashad Moore),Angel (individual),The company raised an undisclosed amount of angel funding from Rashad Moore in 2015.
Pay Your Tuition,117769-33,52782-58T,19-Feb-2015,,,Lightship Bootcamp,Accelerator/Incubator,"The company joined NewME on February 19, 2015."
Pay Your Tuition,117769-33,52782-85T,26-Jun-2015,,,FinTech Innovation Lab,Accelerator/Incubator,"The company joined FinTech Innovation Lab as a part of its 2015 class on June 26, 2015."
Pay Your Tuition,117769-33,98364-52T,28-Jul-2017,0.02,Actual,Lighthouse Labs (Richmond),Accelerator/Incubator,"The company joined Lighthouse Labs as a part of its Fifth Class and received $20,000 in funding on July 28, 2017."
Pay Your Tuition,117769-33,99285-58T,16-Jun-2016,,,Halcyon Incubator,Accelerator/Incubator,"The company joined Halcyon Incubator as a part of its Fifth Cohort on June 16, 2016."
Pay Your Tuition,117769-33,99285-94T,07-Sep-2017,0.01,Actual,Rockville Economic Development,Grant,"The company received $5,000 of prize money from Rockville Economic Development as a part of 14th Annual StartRight! Women's Business Plan Competition on September 7, 2017."
Pay Your Tuition,117769-33,99286-21T,23-Jun-2016,0.05,Actual,"Points of Light Institute, Village Capital",Accelerator/Incubator,"The company graduated Village Capital and Points of Light Institute as a part of its Civic Accelerator of spring 2016 program on June 23, 2016."
Pay Your Tuition,117769-33,103771-36T,21-Feb-2018,,,MassChallenge (John Harthorne),Accelerator/Incubator,"The company joined MassChallenge as a part of its 2018 Texas Cohort on February 21, 2018."
Pay Your Tuition,117769-33,110253-52T,05-Jul-2018,,,"Capital One Financial (NYS: COF), MetLife Foundation, New Media Ventures (Julie Menter), The Venture Center",Seed Round,"The company raised an undisclosed amount of seed funding from Capital One Financial, MetLife Foundation and The Venture Center on July 5, 2018. New Media Ventures also participated in the round."
Pay Your Tuition,117769-33,131682-34T,01-Dec-2019,0.10,Actual,"Impact Assets, New Media Ventures",Early Stage VC,"The company raised $100,000 of venture funding from New Media Ventures and ImpactAssets in December 2019. The amount was originally raised in the form of convertible debt and subsequently converted to equity."
Pay Your Tuition,117769-33,155866-60T,,0.01,Actual,United States Small Business Administration,Grant,"The company received $3,000 of grant funding from United States Small Business Administration on an undisclosed date."
Pay Your Tuition,117769-33,155866-78T,12-Jul-2020,0.30,Estimated,"TEDCO, The Harbor Bank of Maryland Community Development",Later Stage VC,"The company raised $300,000 of venture funding from TEDCO, The Harbor Bank of Maryland Community Development and other undisclosed investors on July 12, 2020."
Pay Your Tuition,117769-33,158639-68T,12-Jul-2020,,,,Later Stage VC,"The company was in talks to receive an undisclosed amount of venture funding on July 12, 2020. Subsequently, the deal was cancelled."
PayAnalytics,407225-62,130971-88T,21-Jan-2020,0.53,Actual,Nýsköpunarsjóður (Huld Magnúsdóttir),Early Stage VC,"The company raised ISK 65 million of venture funding from Nýsköpunarsjóður on January 21, 2020, putting the company's pre-money valuation at an estimated ISK 476.67 million. This investment enables the company to keep their technological advantage and enter into markets abroad."
PayAnalytics,407225-62,196817-05T,30-Dec-2021,3.36,Actual,"Eyrir Venture Management, Nýsköpunarsjóður (Fridrik Fridriksson)",Later Stage VC,"The company raised ISK 443.48 million of Series A venture funding from Nýsköpunarsjóður, Eyrir Venture Management and other undisclosed investors on December 30, 2021, putting the company's pre-money valuation at an estimated ISK 2.21 billion. Eyrir Venture Management has lead the round."
PayAnalytics,407225-62,247456-90T,12-Dec-2023,,,"beqom (Fabio Ronga), Eyrir Venture Management",Merger/Acquisition,"The company was acquired by beqom & Eyrir Venture Management for an undisclosed amount on December 12, 2023."
PediaMetrix,233276-77,139590-19T,17-Jul-2019,0.02,Actual,FounderTrac,Accelerator/Incubator,"The company joined FounderTrac on July 17, 2019 and received $20,000 in funding."
PediaMetrix,233276-77,139603-24T,30-May-2021,1.31,Actual,"Biohealth Innovation, National Science Foundation, TEDCO",Grant,"The company received $1.31 million of grant funding from Biohealth Innovation, TEDCO and National Science Foundation on May 30, 2021."
PediaMetrix,233276-77,140245-93T,01-Jan-2020,0.02,Actual,,Grant,"The company received $18,000 of grant funding from an undisclosed grantor on January 1, 2020."
PediaMetrix,233276-77,140246-11T,01-May-2019,0.05,Actual,National Science Foundation,Grant,"The company received $50,000 of grant funding from National Science Foundation on May 1, 2019."
PediaMetrix,233276-77,182329-57T,02-Sep-2021,0.20,Actual,TEDCO,Seed Round,"The company raised $200,000 of seed funding in a deal led by TEDCO on September 2, 2021, putting the company's pre-money valuation at $7.5 million."
PediaMetrix,233276-77,194493-70T,01-Mar-2022,0.20,Actual,National Science Foundation,Grant,"The company received $200,000 of grant funding from an undisclosed grantor on March 1, 2022."
PediaMetrix,233276-77,204111-19T,22-Aug-2022,1.93,Actual,National Institute of Dental and Craniofacial Research,Grant,"The company received $1.93 million of grant funding from the National Institute of Dental and Craniofacial Research on August 22, 2022."
PediaMetrix,233276-77,218697-76T,,3.00,Actual,Blu Venture Investors,Seed Round,The company raised $3 million of seed funding from Blu Venture Investors on an undisclosed date.
Pendulum Analytics,552401-11,254849-32T,24-Jul-2019,,,TERP Startup Laboratory,Accelerator/Incubator,"The company joined TERP Startup Laboratory as a part of summer accelerator on July 24, 2019."
Perform Ab,635760-64,269857-36T,03-Feb-2022,,,Nucleate (Soufiane Aboulhouda),Accelerator/Incubator,"The company joined Nucleate as part of its 2022 Activator Cohort on February 3, 2022. No equity or funding was exchanged as a result of this program."
PerSoN Clinic,266477-59,123464-44T,01-Dec-2018,,,StartUp Health,Seed Round,The company raised an undisclosed amount of seed funding from StartUp Health in December 2018.
1787fp,167257-99,125534-89T,29-Aug-2016,0.01,Actual,i.Lab Incubator,Accelerator/Incubator,"The company joined i.Lab at UVA on August 29, 2016 and received $5,000 in funding in the form of grant."
1787fp,167257-99,125535-97T,15-Jan-2018,0.02,Actual,,Equity Crowdfunding,"The company raised $19,800 of equity crowdfunding via StartEngine on January 15, 2018, putting the company's pre-money valuation at $23.98 million."
1787fp,167257-99,125536-60T,19-Jun-2017,,,,Equity Crowdfunding,"The company raised an undisclosed amount of equity crowdfunding via NetCapital on June 19, 2017"
360VR Technology,436444-21,138629-80T,,,,Capital Factory,Accelerator/Incubator,The company joined Capital Factory on an undisclosed date.
360VR Technology,436444-21,138631-24T,01-Jan-2019,0.08,Actual,"Salisbury University, University of California Davis Foundation, University of Delaware",Grant,"The company received $80,000 of grant funding from Salisbury University, University of California Davis Foundation and University of Delaware in 2019."
360VR Technology,436444-21,138632-14T,23-Aug-2019,0.01,Estimated,Penn State Research Foundation,Accelerator/Incubator,"The company graduated from Summer Founders Program of Penn State Research Foundation as a part of its fourth cohort on August 23, 2019 and received $10,000 in funding."
360VR Technology,436444-21,138633-40T,02-Jun-2020,,,MassChallenge (Mike Millard),Accelerator/Incubator,"The company joined MassChallenge as a part of its 2020 Cohort on June 2, 2020."
360VR Technology,436444-21,178660-00T,19-Aug-2021,,,,Out of Business,"The company is no longer actively in business as of August 19, 2021."
3D Flexible,599902-57,270648-46T,,,,MTech Ventures,Accelerator/Incubator,The company joined MTech Ventures on an undisclosed date.
Accelevir,185291-47,93282-85T,01-Feb-2015,,,Johns Hopkins Technology Ventures,Accelerator/Incubator,The company joined Fast Forward at Johns Hopkins University in February 2015.
Accelevir,185291-47,93282-94T,01-Jan-2016,0.48,Actual,"National Science Foundation, U.S. Department of Health and Human Services",Grant,"The company received $483,874 of grant funding from National Science Foundation and U.S. Department of Health and Human Services in 2016."
Accelevir,185291-47,93283-57T,31-May-2016,,,Sinai Hospital BioIncubator,Accelerator/Incubator,"The company joined Sinai Hospital BioIncubator on May 31, 2016."
Accelevir,185291-47,99406-00T,01-Jan-2017,1.09,Actual,"National Science Foundation, U.S. Department of Health and Human Services",Grant,The company received $1.09 million of grant funding from National Science Foundation and U.S. Department of Health and Human Services in 2017.
Accelevir,185291-47,118285-75T,01-Jan-2018,2.30,Actual,U.S. Department of Health and Human Services,Grant,The company received $2.3 million of grant funding from U.S. Department of Health and Human Services under SBIR Program Phase I and II in 2018.
Accelevir,185291-47,118286-02T,,,,TEDCO,Grant,The company received grant funding from TEDCO under Maryland Innovation Initiative program on an undisclosed date.
Accelevir,185291-47,203993-47T,23-Jul-2021,0.30,Actual,National Institutes of Health,Grant,"The company received $300,000 of grant funding from National Institutes of Health on July 23, 2021."
Accelevir,185291-47,203993-65T,07-Jul-2021,0.60,Actual,National Institutes of Health,Grant,"The company received $600,000 of grant funding from National Institutes of Health on July 7, 2021."
Accelevir,185291-47,204037-12T,13-Apr-2020,0.75,Actual,,Grant,"The company received a $749,588 grant from National Institutes of Health on April 13, 2020."
Accelevir,185291-47,225167-14T,12-Dec-2019,1.35,Actual,,Grant,"The company received a $1,349,968 grant from National Institutes of Health on December 12, 2019."
ACTIVEcharge,268665-13,120561-40T,02-Jul-2019,,,TEDCO,Early Stage VC,"The company raised an undisclosed amount of venture funding from TEDCO on July 2, 2019."
ACTIVEcharge,268665-13,139073-59T,01-Jan-2020,0.03,Actual,Maryland Energy Innovation Accelerator,Accelerator/Incubator,"The company joined Maryland Energy Innovation Accelerator as part of MEIA Cohort 1 in January 2020 and received $25,000."
ACTIVEcharge,268665-13,198887-23T,08-Oct-2020,0.01,Actual,F3 Tech Business Accelerator,Accelerator/Incubator,"The company joined F3 Tech Business Accelerator on October 8, 2020 and received $10,000 in funding."
ACTIVEcharge,268665-13,220005-64T,01-Oct-2022,0.26,Actual,National Science Foundation (Ben Schrag),Grant,"The company received $256,000 of grant funding from National Science Foundation on October 1, 2022."
ACTIVEcharge,268665-13,221087-71T,01-Feb-2023,,,VentureWell,Accelerator/Incubator,The company joined VentureWell as a part of the NSF SBIR Winter Boot Camp in February 2023 and received an undisclosed amount in funding.
ACTIVEcharge,268665-13,228583-81T,01-May-2023,,,National Science Foundation,Accelerator/Incubator,"The company joined National Science Foundation as a part of the NSF SBIR Spring Boot Camp on May 1, 2023 and received an undisclosed amount in funding."
ACTIVEcharge,268665-13,285248-35T,14-Feb-2025,,,,Out of Business,"The company is no longer actively in business as of February 14, 2025."
Advanced Aircraft Company,174959-74,93339-19T,17-Aug-2017,1.15,Estimated,"Charlottesville Angel Network (Kyle Redinger), Virginia Venture Partners",Seed Round,"The company raised $1.15 million of seed funding in a deal led by Center for Innovative Technology on August 17, 2017. Charlottesville Angel Network also participated in the round. The funds will be used to finish development of the Hercules UAS technology and to bring the aircraft pre-production prototype."
Advanced Aircraft Company,174959-74,168470-83T,01-May-2021,0.85,Actual,"JHH vc, Virginia Venture Partners",Seed Round,"The company raised $850,000 of seed funding in the form of convertible debt from Virginia Venture Partners and JHH vc on May 1, 2021."
Advanced Aircraft Company,174959-74,189437-14T,17-Aug-2021,0.10,Actual,National Institute of Standards and Technology (Dereck Orr),Grant,"The company received $100,000 of grant funding from National Institute of Standards and Technology on August 17, 2021."
Advanced Aircraft Company,174959-74,219715-39T,22-Dec-2022,0.08,Actual,Virginia Innovation Partnership,Grant,"The company received $75,000 of grant funding from Virginia Innovation Partnership on December 22, 2022. The funds will be used to further develop our next-generation uncrewed aircraft systems for the US Department of Defense to drastically improve our military's operational and logistics support capabilities by maximizing performance, efficiency, and endurance."
Advanced Aircraft Company,174959-74,262274-23T,01-Jan-2021,,,Dominion Energy Innovation Center,Accelerator/Incubator,The company joined Dominion Energy Innovation Center as a part of DEIC Accelerate Program in 2021. No equity or funding was exchanged as a result of this program.
Advanced Aircraft Company,174959-74,262511-56T,10-Jun-2024,0.50,Actual,,Later Stage VC,"The company raised $500,000 of venture funding in the form of convertible debt from undisclosed investors on June 10, 2024."
Advanced Aircraft Company,174959-74,288179-47T,,,,Ignition (Virginia),Accelerator/Incubator,The company joined Ignition on an undisclosed date. No equity or funding was exchanged as a result of this program.
Advanced Optronics,495551-80,192591-28T,04-Jun-2021,0.02,Actual,SPIE Startup Challenge,Grant,"The company received $20,000 of grant funding from SPIE Startup Challenge on June 4, 2021."
Advanced Optronics,495551-80,209823-13T,29-Nov-2022,0.12,Actual,AlphaLab Health (Megan Shaw),Accelerator/Incubator,"The company joined AlphaLab Health on November 29, 2022 and received $120,000 in funding."
Advanced Optronics,495551-80,213934-42T,22-Nov-2022,0.40,Actual,Innovation Works,Seed Round,"The company raised $400,000 of seed funding from Innovation Works on November 22, 2022."
Advanced Optronics,495551-80,213969-79T,20-Apr-2022,0.05,Actual,Rice Business Plan Competition,Grant,"The company received $45,000 of grant funding from Rice Business Plan Competition on April 20, 2022."
Advanced Optronics,495551-80,213970-06T,28-Mar-2022,0.02,Actual,McGinnis Venture Competition,Grant,"The company received $15,000 of grant funding from McGinnis Venture on March 28, 2022."
Advanced Optronics,495551-80,225479-35T,05-May-2022,0.01,Actual,Duquesne University Endowment,Grant,"The company received $10,000 of grant funding from Duquesne University Endowment programme Duquesne New Venture Challenge on May 5, 2022."
Advanced Optronics,495551-80,228361-60T,01-May-2023,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined National Science Foundation Innovation Corps Program as a part of the Spring 2023 Program.
Advanced Optronics,495551-80,260658-28T,01-Jan-2021,,,LifeX Ventures,Accelerator/Incubator,The company joined LifeX Ventures as a part of its 2021 Cohort.
Advanced Optronics,495551-80,266384-71T,01-Jan-2022,,,VentureBridge Program,Accelerator/Incubator,The company joined VentureBridge Program as a part of 2022 Cohort.
Advanced Optronics,495551-80,266498-56T,,,,Southwest National Pediatric Device Innovation Consortium,Accelerator/Incubator,The company joined Southwest National Pediatric Device Innovation Consortium and received an undisclosed amount in the form of grant.
Advanced Optronics,495551-80,268338-79T,01-Jul-2024,,,99 Tartans (Craig Setter),Angel (individual),The company raised an undisclosed amount of angel funding from 99 Tartans in approximately July 2024.
Advanced Optronics,495551-80,268340-59T,15-Feb-2024,0.93,Actual,"Carnegie Mellon University, National Institutes of Health, National Science Foundation",Grant,"The company received $925,000 of grant funding from National Institutes of Health, Carnegie Mellon University and National Science Foundation on February 15, 2024. The funds will be used to develop medical instruments that sense their own shape changes during complex surgeries to provide real time tactile feedback to surgeons."
Advanced Optronics,495551-80,281448-10T,07-Nov-2024,,,Innovation Works,Early Stage VC,"The company raised an undisclosed amount of venture funding from Innovation Works on November 7, 2024."
Aevus Precision Diagnostics,512583-31,207465-13T,01-Nov-2019,0.13,Actual,"Gimmel Ventures, i2E, Piyush Patel (Piyush Patel)",Seed Round,"The company raised $127,000 of pre-seed funding from Gimmel Ventures, i2E and Piyush Patel in November 2019."
AGED Diagnostics,267076-18,187799-23T,07-Dec-2021,0.02,Actual,757 Accelerate,Accelerator/Incubator,"The company joined 757 Accelerate as part of the fourth cohort and received $20,000 in funding on December 7, 2021."
AGED Diagnostics,267076-18,187809-76T,08-Jul-2020,0.01,Actual,Halcyon Incubator (Ryan Ross),Accelerator/Incubator,"The company joined Halcyon Incubator as part of the Halcyon Arts Lab fellowship and received $10,000 in funding on July 8, 2020."
AGED Diagnostics,267076-18,263277-37T,14-Nov-2023,3.25,Actual,"1863 Ventures, How Women Invest",Later Stage VC,"The company raised $3.25 million through a combination of venture funding and debt from How Women Invest, 1863 Ventures and other undisclosed investors on November 14, 2023, putting the company's pre-money valuation at $13.25 million. Out of the total funding raised, USD 1.5 million was raised in the form of debt."
AGED Diagnostics,267076-18,285010-12T,01-Feb-2025,,,Central Texas Angel Network,Seed Round,"The company raised an undisclosed amount of seed funding from Central Texas Angel Network on February 1, 2025, putting the company's post-valuation at $11 million."
AGED Diagnostics,267076-18,286685-92T,,,,,Seed Round,The company is reportedly seeking Series A seed funding from undisclosed investors.
Airgility,279733-60,155337-58T,01-Oct-2019,0.23,Actual,National Science Foundation Innovation Corps Program,Grant,"The company received $225,000 of grant funding from National Science Foundation Innovation Corps Program as a part of its Phase 1 in October, 2019."
Airgility,279733-60,155337-67T,19-Oct-2020,0.95,Actual,,Equity Crowdfunding,"The company raised $950,328 million of equity crowdfunding via StartEngine on October 19, 2020, putting the company's pre-money valuation at $12.02 million."
Airgility,279733-60,155339-74T,23-Mar-2017,0.09,Actual,Maryland Industrial Partnerships,Grant,"The company received $90,000 of grant funding from Maryland Industrial Partnerships as a part of Phase 2 in 2017."
Airgility,279733-60,170775-73T,01-Jan-2021,,,TEDCO,Early Stage VC,The company raised an undisclosed amount of venture funding from TEDCO in 2021.
Airgility,279733-60,212373-91T,22-Oct-2020,0.01,Actual,MassChallenge,Accelerator/Incubator,"The company joined MassChallenge on October 22, 2020 and received $10,000 in funding."
AkriVita,230581-00,140230-27T,01-Jan-2018,0.03,Actual,AccelerateDC,Accelerator/Incubator,"The company joined AccelerateDC in 2018 and received $25,000 in funding."
AkriVita,230581-00,140231-71T,02-Mar-2020,0.23,Actual,National Science Foundation,Accelerator/Incubator,"The company joined National Science Foundation on March 1, 2020 and received $225,000 in grant funding."
AkriVita,230581-00,210694-06T,06-Dec-2022,0.10,Actual,TEDCO (Jean-Luc Park),Early Stage VC,"The company raised $100,000 of venture funding from TEDCO on December 6, 2022."
AkriVita,230581-00,274409-29T,10-Oct-2024,,,,Later Stage VC,"The company is in the process of raising venture funding from undisclosed investors in the form of convertible promissory notes on October 10, 2024."
AkriVita,230581-00,274410-91T,31-Jan-2023,,,TEDCO,Accelerator/Incubator,"The company joined TEDCO as a part of its SBIR/STTR Proposal Lab Cohort on January 31, 2023. No equity or funding was exchanged as a result of this program."
Alchemity,519958-45,215379-73T,10-Oct-2022,0.14,Actual,Shell GameChanger,Accelerator/Incubator,"The company joined Shell GameChanger on October 10, 2022 and received $135,000 in funding in the form of grant."
Alchemity,519958-45,215380-99T,26-Jun-2022,0.01,Actual,Maryland Energy Innovation Accelerator,Accelerator/Incubator,"The company joined Maryland Energy Innovation Accelerator on June 26, 2022 and received $1,000 in funding."
Alchemity,519958-45,224734-06T,01-Jan-2023,,,TEDCO,Seed Round,The company raised an undisclosed amount of venture funding from TEDCO in 2023.
Alchemity,519958-45,273913-03T,01-Apr-2024,,,MTech Ventures,Accelerator/Incubator,The company joined MTech Ventures in April 2024. No equity or funding was exchanged as a result of this program.
Alchemity,519958-45,273913-84T,,0.20,Actual,Maryland Energy Innovation Institute,Grant,"The company received $200,000 of seed grant funding from Maryland Energy Innovation Institute on an undisclosed date."
Alchemity,519958-45,273915-01T,30-Sep-2024,,,,Early Stage VC,"The company is in the process of raising venture funding on September 30, 2024."
AlgenAir,482405-41,181831-42T,03-Sep-2021,0.02,Actual,Techstars (Maria Flynn),Accelerator/Incubator,"The company joined Techstars as a part of its 2021 Class on September 3, 2021, and received $20,000 in funding."
AlgenAir,482405-41,200022-22T,23-Jun-2022,0.05,Actual,"Innovation Works, Nextfab Ventures",Seed Round,"The company raised $50,000 of seed funding from Innovation Works and Nextfab Ventures on June 23, 2022."
AlgenAir,482405-41,204927-76T,01-Feb-2023,0.03,Actual,,Equity Crowdfunding,"The company raised $34,770 of equity crowdfunding in the form of SAFE notes via Republic on February 1, 2023."
AlgenAir,482405-41,241953-31T,01-Apr-2020,0.01,Actual,University of Maryland,Grant,"The company was awarded a $7,500 prize from University of Maryland in April 2020. The funds will be used for future business development."
AlgenAir,482405-41,241953-40T,01-May-2020,0.03,Actual,University of Arkansas,Grant,"The company was awarded a $25,000 prize from University of Arkansas in May 2020."
AlgenAir,482405-41,241953-49T,01-Jun-2020,0.03,Actual,Rice Alliance for Technology and Entrepreneurship,Grant,"The company was awarded a $25,000 prize from Rice Alliance for Technology and Entrepreneurship in June 2020."
AlgenAir,482405-41,273203-38T,05-Nov-2018,,,F3 Tech Business Accelerator (Christopher Hlubb),Accelerator/Incubator,"The company joined F3 Tech Business Accelerator as part of its First Cohort on November 5, 2018. No equity or funding was exchanged as a result of this program."
AliquantumRx,268685-92,120791-53T,02-Jul-2019,0.15,Actual,TEDCO,Grant,"The company received a $150,000 of Phase III MII grant funding from TEDCO on July 2, 2019."
AliquantumRx,268685-92,141000-94T,14-Jan-2019,,,Johns Hopkins Technology Ventures,Accelerator/Incubator,"The company joined Johns Hopkins Technology Ventures on January 14, 2019."
AliquantumRx,268685-92,141005-71T,25-Jan-2019,0.50,Actual,Golden Triangle Partners,Early Stage VC,"The company raised $500,000 of venture funding from Golden Triangle Partners and other undisclosed investors on January 25, 2019. The funds will be used for scale-up synthesis of cethromycin, studies to identify novel salts and polymorphs of cethromycin, as well as business-, patent- and regulatory-related expenses."
AliquantumRx,268685-92,153748-81T,01-Sep-2020,,,,Early Stage VC,"The company was in talks to receive Series A venture funding in September 2020. Subsequently, the deal was cancelled."
AliquantumRx,268685-92,266716-00T,,,,,Secondary Transaction - Private,Golden Triangle Partners sold its stake in the company to an undisclosed buyer.
Alirtify,501046-12,198777-16T,05-Jul-2022,0.03,Actual,TEDCO (Troy LeMaile-Stovall),Seed Round,"The company raised $25,000 of pre-seed funding from TEDCO on July 5, 2022. The funds will be used to expand and move the company's platform to the next level by exploring emerging themes and use-cases, such as situational awareness to promote public safety during shootings at schools and other public places."
Ally Power,434710-18,179561-53T,03-Sep-2021,42.33,Actual,,Early Stage VC,"The company was in talks to receive $42.33 million of venture funding from undisclosed investors on September 3, 2021. Subsequently, the deal was cancelled."
Ally Power,434710-18,245620-81T,01-Jan-2022,,,Bethesda Green,Accelerator/Incubator,The company joined Bethesda Green as a part of 2022 Innovation Lab Accelerator Cohort in 2022.
Ally Power,434710-18,261554-50T,,,,The Innovation Space,Accelerator/Incubator,The company joined The Innovation Space on an undisclosed date. No equity or funding was exchanged as a result of this program.
Ambay Immune Sensors & Controls,471881-71,178826-05T,01-May-2021,,,National Institutes of Health,Accelerator/Incubator,The company joined the National Institutes of Health as a part of the Summer Cohort in May 2021 and received an undisclosed amount of funding in the form of grant.
American Biosystems,503538-94,201811-69T,26-May-2018,,,Regional Accelerator & Mentoring Program,Accelerator/Incubator,"The company joined Regional Accelerator & Mentoring Program on May 26, 2018."
AmpX Technologies,435558-16,137206-09T,16-Jan-2018,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined the NSF I-Corps Winter 2018 Cohort in January 2018.
AmpX Technologies,435558-16,137206-45T,01-Feb-2019,0.23,Actual,National Science Foundation,Grant,"The company received $225,000 of grant funding from National Science Foundation on February 1, 2019."
AmpX Technologies,435558-16,217246-87T,01-Jan-2020,1.18,Actual,National Science Foundation,Grant,"The company received $1.18 million of grant funding from National Science Foundation on January 1, 2020."
AmpX Technologies,435558-16,268417-90T,,,,MTech Ventures,Accelerator/Incubator,The company joined MTech Ventures on an undisclosed date.
Aquatonomy,539745-04,245679-85T,29-Jun-2023,,,Innovation Works (Kevin Dowling),Accelerator/Incubator,"The company joined Innovation Works as part of its Robotics Factory Accelerate program on June 29, 2023 and received undisclosed amount of funding."
Aquatonomy,539745-04,270959-14T,29-Apr-2024,0.02,Actual,Duquesne University,Grant,"The company received $20,000 of grant funding from Duquesne University as a part of its 2023-24 Duquesne New Venture Challenge on April 29, 2024."
Aquatonomy,539745-04,283349-44T,13-Jun-2024,,,VentureBridge Program,Accelerator/Incubator,"The company joined VentureBridge Program as part of its 2024 Summer Accelerator Cohort on June 13, 2024 and received an undisclosed amount of funding."
Aquatonomy,539745-04,285370-84T,01-Jan-2025,,,Innovation Partnerships,Early Stage VC,The company raised an undisclosed amount of venture funding from Innovation Partnerships in 2025.
Armaments Research Company,226893-43,103168-99T,01-Jan-2018,0.01,Actual,SunTrust Bank,Grant,"The company was awarded a $3,500 StartUp StandUp prize from SunTrust in 2018."
Armaments Research Company,226893-43,115707-70T,13-Jun-2018,0.23,Actual,National Science Foundation,Grant,"The company received $225,000 of grant funding SBIR Phase I grant from National Science Foundation on June 13, 2018."
Armaments Research Company,226893-43,245125-63T,,,,Canty Ventures,Angel (individual),The company raised angel funding from Canty Ventures on an undisclosed date.
Armaments Research Company,226893-43,259171-12T,01-Jan-2019,0.75,Actual,National Science Foundation,Grant,"The company received $750,000 Phase II of grant funding from National Science Foundation in 2019."
ArtiMed,537468-94,242490-34T,20-Aug-2021,0.55,Actual,National Science Foundation,Grant,"The company received $550,000 of grant funding from National Science Foundation on August 20, 2021."
Ashvattha Therapeutics,154977-67,71429-86T,01-Jun-2016,0.34,Actual,Catalio Capital Management,Seed Round,"The company raised $337,399 of Seed-1 funding from Catalio Capital Management and other undisclosed investors on June 1, 2016, putting the company's pre-money valuation at $5 million."
Ashvattha Therapeutics,154977-67,101952-37T,01-Mar-2018,,,Johns Hopkins Technology Ventures,Accelerator/Incubator,The company joined Fast Forward at Johns Hopkins University in approximately March 2018.
Ashvattha Therapeutics,154977-67,112533-76T,01-Jan-2016,0.15,Actual,TEDCO,Grant,"The company received $150,000 of grant funding from TEDCO in 2016."
Ashvattha Therapeutics,154977-67,137185-30T,31-May-2019,7.00,Actual,"Daniel Bach (Daniel Bach), EcoR1 Capital, January Bromberger (January Bromberger), Jean Manaud (Jean Manaud), Jonathan Rice (Jonathan Rice), Kamiar Kordari (Kamiar Kordari), Karan Kaushik (Karan Kaushik), Natural Capital (US) (Jay Zaveri), Nikhil Agarwal (Nikhil Agarwal), Richard Harem (Richard Harem), Roman Fuchs (Roman Fuchs)",Early Stage VC,"The company raised $7 million through a combination of debt and Series A venture funding in a deal led by Natural Capital (US) on May 31, 2019, putting the company's pre-money valuation at $15 million. Richard Harem, Daniel Bach, Kamiar Kordari, Jan Bromberger, Nitin Agarwal, Jonathan Rice, Jean Manaud, Karan Kaushik, Roman Fuchs and EcoR1 Capital also participated in the round."
Ashvattha Therapeutics,154977-67,193003-03T,13-Jan-2025,119.00,Estimated,"A-Level Capital, Brady Anthony-Brumfield (Brady Anthony-Brumfield), Deep Ventures (Venture Capital) (Ryan Li), Evolution VC Partners, Helios Capital (New York), Huadong Medicine Company (SHE: 000963), Johns Hopkins Technology Ventures, Kingsley Advani (Kingsley Advani), Kyle Wang (Kyle Wang), Natural Capital (US) (Jay Zaveri), Plum Alley Investments, Preetham Gaddam (Preetham Gaddam), Sakya Duvvuru (Sakya Duvvuru), Sand Hill Angels (Rajan Perkash), Socii Capital, Tribe Capital (Arjun Sethi)",Later Stage VC,"The company raised an estimated $119 million of Series B venture funding in a deal led by Huadong Medicine Company, Tribe Capital and Natural Capital (US) on January 13, 2025, putting the company's pre-money valuation at an estimated $191 million. Evolution VC Partners, Plum Alley Investments, Deep Ventures (Venture Capital), A-Level Capital, Socii Capital, Johns Hopkins Technology Ventures, Kingsley Advani, Kyle Wang, Sakya Duvvuru, Brady Anthony-Brumfield, Preetham Gaddam, Sand Hill Angels and Helios Capital (New York) also participated in the round. The funds will be used to complete the ongoing Phase 2 ophthalmology trial and Phase 1/2 neuroinflammation trial."
